,n_cells_by_counts,mean_counts,pct_dropout_by_counts
MIR1302-2HG,0,0.0,100.0
FAM138A,0,0.0,100.0
OR4F5,0,0.0,100.0
RP11-34P13.7,11,0.0018471872376154492,99.81528127623845
RP11-34P13.8,0,0.0,100.0
RP11-34P13.14,0,0.0,100.0
RP11-34P13.13,25,0.00436607892527288,99.58018471872376
RP11-34P13.9,0,0.0,100.0
AP006222.3,2,0.0005037783375314861,99.9664147774979
RP4-669L17.2,0,0.0,100.0
OR4F29,0,0.0,100.0
RP5-857K21.2,0,0.0,100.0
OR4F16,0,0.0,100.0
RP11-206L10.4,0,0.0,100.0
LINC01409,116,0.02065491183879093,98.05205709487825
FAM87B,6,0.0010075566750629723,99.8992443324937
LINC01128,220,0.04248530646515533,96.3056255247691
LINC00115,15,0.002686817800167926,99.74811083123426
RP11-206L10.19,1,0.00016792611251049538,99.98320738874895
FAM41C,41,0.007052896725440806,99.31150293870697
RP11-54O7.16,0,0.0,100.0
RP11-54O7.1,0,0.0,100.0
RP11-54O7.2,0,0.0,100.0
LINC02593,10,0.0018471872376154492,99.8320738874895
SAMD11,32,0.0055415617128463475,99.46263643996642
NOC2L,596,0.15365239294710328,89.99160369437448
KLHL17,198,0.04298908480268682,96.6750629722922
PLEKHN1,360,0.10814441645675903,93.95465994962217
PERM1,6,0.0010075566750629723,99.8992443324937
RP11-54O7.17,36,0.006717044500419815,99.39546599496222
HES4,407,0.09689336691855584,93.16540722082284
ISG15,918,0.3093198992443325,84.58438287153652
RP11-54O7.11,0,0.0,100.0
AGRN,369,0.09051217464315701,93.80352644836272
RP11-54O7.14,0,0.0,100.0
RP11-54O7.18,1,0.00016792611251049538,99.98320738874895
RNF223,51,0.011418975650713686,99.14357682619648
C1orf159,191,0.03711167086481948,96.79261125104955
RP11-465B22.9,0,0.0,100.0
LINC01342,0,0.0,100.0
RP11-465B22.8,123,0.02586062132661629,97.9345088161209
TTLL10-AS1,3,0.0005037783375314861,99.94962216624685
